iter	Passed	Remaining
0	1	165
1	3	148
2	4	146
3	5	140
4	7	137
5	8	137
6	10	135
7	11	134
8	13	134
9	15	135
10	17	144
11	19	143
12	21	141
13	22	139
14	25	142
15	27	141
16	28	140
17	30	137
18	32	136
19	33	134
20	35	132
21	36	130
22	39	131
23	41	130
24	44	132
25	45	130
26	47	128
27	48	125
28	50	122
29	51	120
30	53	118
31	54	115
32	56	115
33	59	116
34	61	113
35	62	111
36	64	109
37	65	107
38	67	105
39	68	103
40	70	101
41	72	100
42	74	99
43	76	97
44	78	96
45	79	93
46	81	91
47	82	89
48	84	87
49	85	85
50	87	83
51	88	81
52	90	80
53	91	78
54	93	76
55	94	74
56	95	72
57	97	70
58	98	68
59	99	66
60	101	64
61	102	62
62	103	60
63	105	59
64	106	57
65	107	55
66	109	53
67	110	51
68	111	50
69	113	48
70	114	46
71	115	45
72	117	43
73	118	41
74	119	39
75	121	38
76	122	36
77	123	34
78	124	33
79	126	31
80	127	29
81	128	28
82	129	26
83	131	24
84	132	23
85	134	21
86	135	20
87	136	18
88	137	17
89	139	15
90	140	13
91	141	12
92	142	10
93	143	9
94	145	7
95	146	6
96	147	4
97	149	3
98	150	1
99	151	0
